Accident_Index,Long,Lat,Accident_Severity,Severity_ctx,Number_of_Vehicles,Number_of_Casualties,Date,Day_of_Week,Day_ctx,Time,Speed_limit,Light_Conditions,Light_ctx,Weather_Conditions,Road_Surface_Conditions
201501BS70238,-0.185373,51.479618,1,Slight,2,1,06/05/2015,4,Wednesday,16:55:00,30,1,Daylight,1,1
201501BS70114,-0.18578,51.480254,1,Slight,2,1,04/03/2015,4,Wednesday,07:50:00,30,1,Daylight,1,1
201501CW11914,-0.186955,51.523256,1,Slight,2,1,16/12/2015,4,Wednesday,08:04:00,30,1,Daylight,1,1
201501BS70298,-0.187842,51.489998,1,Slight,3,1,20/05/2015,4,Wednesday,11:30:00,30,1,Daylight,2,2
201501CW10585,-0.188651,51.524092,1,Slight,1,1,06/05/2015,4,Wednesday,16:00:00,30,1,Daylight,1,1
201501BS70525,-0.189014,51.485879,1,Slight,2,1,16/09/2015,4,Wednesday,19:15:00,30,1,Daylight,1,1
201501FH10524,-0.18932,51.47815,1,Slight,2,1,30/09/2015,4,Wednesday,18:57:00,30,1,Daylight,1,1
201501CW10827,-0.189609,51.532649,1,Slight,3,1,17/06/2015,4,Wednesday,15:55:00,30,1,Daylight,1,1
201501CW10547,-0.190969,51.520171,1,Slight,1,1,29/04/2015,4,Wednesday,15:28:00,30,1,Daylight,1,1
201501BS70289,-0.191404,51.501923,1,Slight,1,1,20/05/2015,4,Wednesday,18:20:00,30,1,Daylight,1,1
201501QK50788,-0.192486,51.53647,1,Slight,2,1,14/10/2015,4,Wednesday,07:32:00,20,1,Daylight,1,1
201501FH10220,-0.192596,51.475413,1,Slight,2,1,13/05/2015,4,Wednesday,19:00:00,20,1,Daylight,1,1
201501FH10419,-0.1926,51.475323,1,Slight,2,1,19/08/2015,4,Wednesday,14:52:00,30,1,Daylight,1,1
201501BS70429,-0.19265,51.488633,1,Slight,1,1,29/07/2015,4,Wednesday,15:20:00,30,1,Daylight,1,1
201501BS70585,-0.192678,51.509766,1,Slight,1,1,07/10/2015,4,Wednesday,14:30:00,30,1,Daylight,1,1
201501CW10388,-0.19308,51.521462,1,Slight,2,1,08/04/2015,4,Wednesday,15:30:00,30,1,Daylight,1,1
201501FH10657,-0.193559,51.480194,1,Slight,2,1,16/12/2015,4,Wednesday,13:35:00,30,1,Daylight,1,1
201501FH10603,-0.193559,51.480194,1,Slight,1,1,25/11/2015,4,Wednesday,07:15:00,30,1,Daylight,1,1
201501BS70418,-0.193649,51.492515,1,Slight,1,1,08/07/2015,4,Wednesday,13:42:00,30,1,Daylight,1,1
201501CW10937,-0.193663,51.521291,1,Slight,1,1,01/07/2015,4,Wednesday,19:46:00,30,1,Daylight,1,1
201501BS70376,-0.194421,51.509433,1,Slight,2,1,24/06/2015,4,Wednesday,08:00:00,30,1,Daylight,1,1
201501EK40937,-0.194944,51.539925,1,Slight,1,1,21/10/2015,4,Wednesday,15:14:00,30,1,Daylight,2,2
201501CW11776,-0.195045,51.519154,1,Slight,2,1,25/11/2015,4,Wednesday,08:20:00,30,1,Daylight,1,1
